Simulations,AvgOrderValue p-values,AvgItems p-values,AvgUniqueItems p-values
10,0.0,0.0,0.2
20,0.0,0.0,0.05
30,0.0,0.0,0.06666666666666667
40,0.0,0.0,0.025
50,0.0,0.0,0.02
100,0.0,0.0,0.02
200,0.0,0.0,0.045
300,0.0,0.0,0.043333333333333335
400,0.0,0.0,0.045
500,0.0,0.0,0.022
1000,0.0,0.0,0.031
2000,0.0005,0.0,0.03
3000,0.0003333333333333333,0.0,0.029666666666666668
4000,0.0,0.0,0.02675
5000,0.0004,0.0,0.0352
10000,0.0004,0.0,0.0352
20000,0.0003,5e-05,0.03785
30000,0.00046666666666666666,0.0,0.034
40000,0.000775,0.0,0.0337
50000,0.00038,4e-05,0.03536
60000,0.00036666666666666667,8.333333333333333e-05,0.03443333333333334
70000,0.00027142857142857144,2.857142857142857e-05,0.03482857142857143
80000,0.0004875,3.75e-05,0.034675
90000,0.00037777777777777777,4.4444444444444447e-05,0.03478888888888889
100000,0.00047,0.0,0.03393
110000,0.00038181818181818184,9.090909090909091e-06,0.034763636363636365
120000,0.00035833333333333333,3.3333333333333335e-05,0.034083333333333334
130000,0.0003153846153846154,7.692307692307692e-06,0.03408461538461539
140000,0.0004214285714285714,2.1428571428571428e-05,0.034292857142857146
150000,0.0002866666666666667,2e-05,0.03475333333333333
200000,0.000405,5e-06,0.03432
