Simulations,West Central Europe,British Isles,Nordics,Southern Europe,Latin America,North America
10,0.2,0.1,0.4,1.0,0.6,0.3
20,0.6,0.25,0.4,1.0,0.6,0.05
30,0.36666666666666664,0.3,0.6,1.0,0.6,0.06666666666666667
40,0.375,0.325,0.45,0.95,0.5,0.05
50,0.4,0.42,0.48,0.96,0.74,0.06
100,0.43,0.21,0.6,0.93,0.61,0.1
200,0.455,0.305,0.595,0.94,0.625,0.075
300,0.38666666666666666,0.3433333333333333,0.5566666666666666,0.95,0.62,0.10666666666666667
400,0.4025,0.3075,0.55,0.97,0.6175,0.075
500,0.45,0.306,0.55,0.956,0.614,0.096
1000,0.427,0.288,0.561,0.956,0.558,0.088
2000,0.43,0.3025,0.5655,0.948,0.5905,0.0815
3000,0.43266666666666664,0.30933333333333335,0.5586666666666666,0.951,0.5956666666666667,0.071
4000,0.43775,0.3075,0.564,0.94825,0.60875,0.0775
5000,0.4388,0.3054,0.5558,0.9408,0.5976,0.0806
10000,0.4343,0.3107,0.5535,0.9445,0.6056,0.0836
20000,0.43095,0.3018,0.5575,0.9431,0.60975,0.08005
30000,0.4393666666666667,0.3036,0.5531,0.9432,0.6016,0.0833
40000,0.436725,0.306375,0.5545,0.944775,0.60345,0.082325
50000,0.43772,0.30628,0.56166,0.94514,0.60174,0.08498
60000,0.43653333333333333,0.3028,0.5569666666666667,0.9445333333333333,0.5967166666666667,0.08453333333333334
70000,0.4352142857142857,0.3079857142857143,0.5569142857142857,0.9439571428571428,0.6045571428571429,0.08372857142857143
80000,0.4372375,0.3059,0.556975,0.9439875,0.6026375,0.084025
90000,0.4348666666666667,0.3072666666666667,0.5549444444444445,0.9447222222222222,0.6017222222222223,0.08205555555555556
100000,0.4381,0.30823,0.56189,0.94401,0.6034,0.08357
110000,0.43474545454545455,0.3059,0.5563545454545454,0.9446181818181818,0.6022272727272727,0.0838
120000,0.43778333333333336,0.30935833333333335,0.5577166666666666,0.9437666666666666,0.6002666666666666,0.08430833333333333
130000,0.4393076923076923,0.30562307692307694,0.5564692307692307,0.9452923076923077,0.6028230769230769,0.08540769230769231
140000,0.4369571428571429,0.3067214285714286,0.5581357142857143,0.9451928571428572,0.60095,0.08361428571428571
150000,0.4368533333333333,0.30800666666666665,0.56032,0.9446266666666666,0.6014666666666667,0.08463333333333334
200000,0.435665,0.305995,0.55818,0.94434,0.60247,0.08446
